Comment,Designator,Footprint,LCSC
R_Pack04,RN5,R_Array_Convex_4x0402,
MountingHole,H5,MountingHole_3.2mm_M3,
measuring_input4,J2,fcp_vertical_ULP94V0,
CD74HC4067SM,MUX2,SSOP-24_5.3x8.2mm_P0.65mm,
measuring_input4,J3,fcp_vertical_ULP94V0,
CD74HC4067SM,MUX1,SSOP-24_5.3x8.2mm_P0.65mm,
MAX11632EEGT,ADC2,MAX11632EEGT,
R_Pack04,RN6,R_Array_Convex_4x0402,
measuring_input4,J5,fcp_vertical_ULP94V0,
measuring_input4,J1,fcp_vertical_ULP94V0,
R_Pack04,RN1,R_Array_Convex_4x0402,
measuring_input4,J4,fcp_vertical_ULP94V0,
MountingHole,H1,MountingHole_3.2mm_M3,
R_Pack04,RN4,R_Array_Convex_4x0402,
100n,C1,C0603,
R_Pack04,RN2,R_Array_Convex_4x0402,
teensy_left,J12,PinSocket_1x24_P2.54mm_Vertical,
R_Pack04,RN7,R_Array_Convex_4x0402,
MAX11632EEGT,ADC1,MAX11632EEGT,
100n,C2,C0603,
R_Pack04,RN8,R_Array_Convex_4x0402,
R_Pack04,RN3,R_Array_Convex_4x0402,
teensy_right,J11,PinSocket_1x24_P2.54mm_Vertical,
usb_B,J17,usbB_stewart,
