Comment,Designator,Footprint,LCSC
Conn_01x08_Socket,J7,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J1,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J2,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J8,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J3,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J9,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J4,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J5,PinSocket_1x08_P1.27mm_Vertical,
Conn_01x08_Socket,J6,PinSocket_1x08_P1.27mm_Vertical,
1u,C10,C_01005_0402Metric,
1u,C2,C_01005_0402Metric,
Conn_01x09_Socket,J10,PinHeader_1x09_P2.54mm_Vertical,
100n,C9,C_01005_0402Metric,
100n,C7,C_01005_0402Metric,
100n,C15,C_01005_0402Metric,
100n,C17,C_01005_0402Metric,
1u,C12,C_01005_0402Metric,
1u,C8,C_01005_0402Metric,
kx134,U5,KX134-1211,
kx134,U3,KX134-1211,
kx134,U9,KX134-1211,
kx134,U1,KX134-1211,
kx134,U8,KX134-1211,
100n,C1,C_01005_0402Metric,
kx134,U6,KX134-1211,
1u,C14,C_01005_0402Metric,
100n,C11,C_01005_0402Metric,
Conn_01x02_Socket,J12,PinHeader_1x02_P2.54mm_Vertical,
1u,C16,C_01005_0402Metric,
100n,C5,C_01005_0402Metric,
1u,C4,C_01005_0402Metric,
kx134,U2,KX134-1211,
Conn_01x03_Socket,J11,PinHeader_1x03_P2.54mm_Vertical,
1u,C6,C_01005_0402Metric,
kx134,U4,KX134-1211,
kx134,U7,KX134-1211,
1u,C18,C_01005_0402Metric,
100n,C3,C_01005_0402Metric,
100n,C13,C_01005_0402Metric,
