Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_01005_0402Metric,149.85,-66.6,0.0,top
C2,1u,C_01005_0402Metric,148.4,-64.9,-90.0,top
C3,100n,C_01005_0402Metric,167.35,-66.6,0.0,top
C4,1u,C_01005_0402Metric,165.9,-64.9,-90.0,top
C5,100n,C_01005_0402Metric,183.4,-64.850001,-90.0,top
C6,1u,C_01005_0402Metric,185.099999,-63.4,180.0,top
C7,100n,C_01005_0402Metric,183.4,-82.350001,-90.0,top
C8,1u,C_01005_0402Metric,185.099999,-80.9,180.0,top
C9,100n,C_01005_0402Metric,167.65,-80.9,180.0,top
C10,1u,C_01005_0402Metric,169.1,-82.6,90.0,top
C11,100n,C_01005_0402Metric,151.6,-82.65,90.0,top
C12,1u,C_01005_0402Metric,149.9,-84.1,0.0,top
C13,100n,C_01005_0402Metric,167.65,-98.4,180.0,top
C14,1u,C_01005_0402Metric,169.1,-100.1,90.0,top
C15,100n,C_01005_0402Metric,185.15,-98.4,180.0,top
C16,1u,C_01005_0402Metric,186.6,-100.1,90.0,top
C17,100n,C_01005_0402Metric,151.6,-100.15,90.0,top
C18,1u,C_01005_0402Metric,149.9,-101.6,0.0,top
J1,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,149.755,-52.45,-90.0,top
J2,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,167.255,-52.45,-90.0,top
J3,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,197.55,-64.754999,180.0,top
J4,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,197.55,-82.254999,180.0,top
J5,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,149.745,-112.55,90.0,top
J6,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,137.45,-82.745,0.0,top
J7,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,167.745,-112.55,90.0,top
J8,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,185.245,-112.55,90.0,top
J9,Conn_01x08_Socket,PinSocket_1x08_P1.27mm_Vertical,137.45,-100.245,0.0,top
J10,Conn_01x09_Socket,PinHeader_1x09_P2.54mm_Vertical,167.5,-123.5,-90.0,top
J11,Conn_01x03_Socket,PinHeader_1x03_P2.54mm_Vertical,159.88,-126.04,90.0,top
J12,Conn_01x02_Socket,PinHeader_1x02_P2.54mm_Vertical,176.39,-126.04,-90.0,top
U1,kx134,KX134-1211,150.0,-65.0,0.0,top
U2,kx134,KX134-1211,167.5,-65.0,0.0,top
U3,kx134,KX134-1211,185.0,-65.0,-90.0,top
U4,kx134,KX134-1211,185.0,-82.5,-90.0,top
U5,kx134,KX134-1211,167.5,-82.5,180.0,top
U6,kx134,KX134-1211,150.0,-82.5,90.0,top
U7,kx134,KX134-1211,167.5,-100.0,180.0,top
U8,kx134,KX134-1211,185.0,-100.0,180.0,top
U9,kx134,KX134-1211,150.0,-100.0,90.0,top
