Comment,Designator,Footprint,LCSC
LIS2DH12TR,"U1,U10,U11,U12,U13,U14,U15,U16,U2,U3,U4,U5,U6,U7,U8,U9",LGA-12_L2.0-W2.0-P0.50-BL,C110926
AFC01-S22FCA-00,FPC17,FPC-SMD_P0.5-22P_FGS-XJ-H2.0,C262668
HC-FPC-05-09-6RLTAG,"FPC1,FPC10,FPC11,FPC12,FPC13,FPC14,FPC15,FPC16,FPC2,FPC3,FPC4,FPC5,FPC6,FPC7,FPC8,FPC9",FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,C5213748
SN74LVC1G32DCKR,"U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32",SOT-353_L2.1-W1.3-P0.65-LS2.3-BR,C7840
1u,C22,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C29,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C20,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C31,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C27,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C32,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C12,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C7,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C23,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C14,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C19,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C11,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C28,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C8,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C13,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C4,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C1,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C3,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C5,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C26,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C25,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C18,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C17,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C9,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C24,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C15,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C10,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
100n,C21,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C16,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C30,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
1u,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,
