Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,102.3,-79.8,90.0,top
C2,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,99.9,-82.3,0.0,top
C3,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.3,-79.8,90.0,top
C4,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.9,-82.3,0.0,top
C5,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.3,-79.8,90.0,top
C6,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.9,-82.3,0.0,top
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.2,-82.3,0.0,top
C8,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.7,-79.900001,-90.0,top
C9,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,99.8,-92.7,180.0,top
C10,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,102.3,-95.099999,90.0,top
C11,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.8,-92.7,180.0,top
C12,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.3,-95.099999,90.0,top
C13,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.3,-94.8,90.0,top
C14,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.9,-97.3,0.0,top
C15,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.2,-97.3,0.0,top
C16,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.7,-94.900001,-90.0,top
C17,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,99.8,-107.7,180.0,top
C18,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,102.3,-110.099999,90.0,top
C19,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.7,-110.2,-90.0,top
C20,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.099999,-107.7,180.0,top
C21,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.2,-112.3,0.0,top
C22,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7,-109.900001,-90.0,top
C23,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.2,-112.3,0.0,top
C24,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.7,-109.900001,-90.0,top
C25,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,99.8,-122.7,180.0,top
C26,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,102.3,-125.099999,90.0,top
C27,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.7,-125.2,-90.0,top
C28,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.099999,-122.7,180.0,top
C29,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,127.7,-125.2,-90.0,top
C30,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,130.099999,-122.7,180.0,top
C31,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.7,-125.2,-90.0,top
C32,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.099999,-122.7,180.0,top
FPC1,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,100.0,-60.16,0.0,top
FPC2,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,115.0,-60.16,0.0,top
FPC3,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,130.0,-60.16,0.0,top
FPC4,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,164.84,-80.0,-90.0,top
FPC5,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,80.16,-95.0,90.0,top
FPC6,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,80.16,-80.0,90.0,top
FPC7,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,145.0,-60.16,0.0,top
FPC8,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,164.84,-95.0,-90.0,top
FPC9,HC-FPC-05-09-6RLTAG,FPC-SMD_6P-P0.50_HC-FPC-05-09-6RLTAG,80.16,-110.0,90.0,top
